id,action,actionLastChangedAt,batchID,batchIDLastChangedAt,condition,conditionLastChangedAt,context,contextLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,idx,idxLastChangedAt,index,indexLastChangedAt,question,questionLastChangedAt,scenario,scenarioLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01K2QAX7VT7HRDQR7XJ1C01TQY,"Richard is a homeless person. At the end of the day, he lies down on a bench at the station, resting his head on a makeshift pillow and wrapped in an old blanket. However, Richard never actually sleeps.",2025-08-15T13:02:16.442442-04:00,01K2QAWG3MDEZ9NDS9QH0QFJBJ,2025-08-15T13:02:16.442442-04:00,underinclusion,2025-08-15T13:02:16.442442-04:00,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: “No sleeping is allowed on the station benches”.",2025-08-15T13:02:16.442442-04:00,true,2025-08-15T13:02:34.929216-04:00,01K2QAWG4R9KZ2ZDRE9JK01K7Z,2025-08-15T13:02:16.442442-04:00,4,2025-08-15T13:02:16.442442-04:00,3,2025-08-15T13:02:16.442442-04:00,Did Richard break the rule?,2025-08-15T13:02:16.442442-04:00,sleep,2025-08-15T13:02:16.442442-04:00,1,2025-08-15T13:02:16.489916-04:00,true,2025-08-15T13:02:30.952092-04:00
01K2QAX7VWG7NPQYP138ENC2ED,"Jolene goes for a walk on the paths of the Aurontown National Park and reaches the site of the reforestation project. She skips over the fence, and rips a branch off one of the native shrubs.",2025-08-15T13:02:16.444174-04:00,01K2QAWG3MDEZ9NDS9QH0QFJBJ,2025-08-15T13:02:16.444174-04:00,violation,2025-08-15T13:02:16.444174-04:00,"As a result of changing weather, the native flora in Aurontown is disappearing. The environmental committee has initiated a reforestation project to replant native shrubs in the Aurontown National Park, which will gradually restore the regional flora. So people will not damage the native shrubs, park authorities have laid a fence around the reforestation site, and posted signs that say: “No park visitors beyond this point”.",2025-08-15T13:02:16.444174-04:00,true,2025-08-15T13:02:40.68787-04:00,01K2QAWG4R9KZ2ZDRE9JK01K7Z,2025-08-15T13:02:16.444174-04:00,7,2025-08-15T13:02:16.444174-04:00,6,2025-08-15T13:02:16.444174-04:00,Did Jolene break the rule?,2025-08-15T13:02:16.444174-04:00,environment,2025-08-15T13:02:16.444174-04:00,1,2025-08-15T13:02:16.516557-04:00,true,2025-08-15T13:02:38.58583-04:00
01K2QAZ5T8JM5ASJM88VZNFFW7,"Paul is a light jockey at some of the best clubs in town. To prepare for an upcoming show, one night Paul sets up his laser lights in the front yard and rehearses his show until 1 AM. The lights are so bright that neighbors complain about not being able to sleep.",2025-08-15T13:03:19.880943-04:00,01K2QAWQJD5D6BKAZVS6RTNAR3,2025-08-15T13:03:19.880943-04:00,underinclusion,2025-08-15T13:03:19.880943-04:00,"House parties are frequent in the college town of Greenville. The parties cause problems for Greenville residents and families, whose sleep is disturbed. To avoid nuisance to Greenville residents, the city adopted an ordinance: “No loud music past 10 PM”.",2025-08-15T13:03:19.880943-04:00,true,2025-08-15T13:03:28.944023-04:00,01K2QAWQJXX669KX4WQBJPYGMV,2025-08-15T13:03:19.880943-04:00,7,2025-08-15T13:03:19.880943-04:00,6,2025-08-15T13:03:19.880943-04:00,Did Paul break the rule?,2025-08-15T13:03:19.880943-04:00,music,2025-08-15T13:03:19.880943-04:00,1,2025-08-15T13:03:19.949718-04:00,true,2025-08-15T13:03:27.653009-04:00
01K2QAZWVEX3JSJC3TQHDCPRZS,Lewis drives his car to work after having breakfast and drinking water. He is stopped by the police on his way and takes a breathalyzer test that detects no traces of alcohol.,2025-08-15T13:03:43.470338-04:00,01K2QAWXBGEB3B9E2DG8G4BRJN,2025-08-15T13:03:43.470338-04:00,compliance,2025-08-15T13:03:43.470338-04:00,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver’s vehicle will be seized and the driver subject to imprisonment.""",2025-08-15T13:03:43.470338-04:00,true,2025-08-15T13:03:50.76987-04:00,01K2QAWXC1FZZAQ9RXE3A2H2A9,2025-08-15T13:03:43.470338-04:00,7,2025-08-15T13:03:43.470338-04:00,6,2025-08-15T13:03:43.470338-04:00,Did Lewis break the rule?,2025-08-15T13:03:43.470338-04:00,driving,2025-08-15T13:03:43.470338-04:00,1,2025-08-15T13:03:43.538216-04:00,true,2025-08-15T13:03:49.762952-04:00
01K2QB2P3X5VGYPMNMMN2NC6Q9,"Jolene goes for a walk on the paths of the Aurontown National Park and reaches the site of the reforestation project. She skips over the fence, and rips a branch off one of the native shrubs.",2025-08-15T13:05:14.877346-04:00,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.877346-04:00,violation,2025-08-15T13:05:14.877346-04:00,"As a result of changing weather, the native flora in Aurontown is disappearing. The environmental committee has initiated a reforestation project to replant native shrubs in the Aurontown National Park, which will gradually restore the regional flora. So people will not damage the native shrubs, park authorities have laid a fence around the reforestation site, and posted signs that say: “No park visitors beyond this point”.",2025-08-15T13:05:14.877346-04:00,true,2025-08-15T13:05:32.060824-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.877346-04:00,4,2025-08-15T13:05:14.877346-04:00,3,2025-08-15T13:05:14.877346-04:00,Did Jolene break the rule?,2025-08-15T13:05:14.877346-04:00,environment,2025-08-15T13:05:14.877346-04:00,1,2025-08-15T13:05:14.921854-04:00,true,2025-08-15T13:05:28.31761-04:00
01K2QB4YFBYTQG8AVZDKG1CZC5,"Marcos, a student at Figuria University, borrows some books from the library. To help him study, he takes notes on the page margins. This helps Marcos make connections between important points in his assigned readings. After finishing his study, he meticulously erases all his notes, and returns the books in the same condition he borrowed them in.",2025-08-15T13:06:28.971272-04:00,01K2QB1FMGQTR04DSF89JKEWNV,2025-08-15T13:06:28.971272-04:00,overinclusion,2025-08-15T13:06:28.971272-04:00,"After noticing damage to returned library books, the Figuria University Library created the following rule: “Making notes and scribbling on library-owned books is strictly forbidden”.",2025-08-15T13:06:28.971272-04:00,true,2025-08-15T13:06:44.871798-04:00,01K2QB1FN0RTA59BMSCCQHNFDR,2025-08-15T13:06:28.971272-04:00,3,2025-08-15T13:06:28.971272-04:00,2,2025-08-15T13:06:28.971272-04:00,Did Marcos break the rule?,2025-08-15T13:06:28.971272-04:00,library,2025-08-15T13:06:28.971272-04:00,1,2025-08-15T13:06:29.009728-04:00,true,2025-08-15T13:06:40.094558-04:00
01K2QAX7VRMB9E672XZPDCPPRB,"Andrea is late to work. While getting ready as fast as she can, Andrea uses mouthwash that contains alcohol. Despite her tardiness, Andrea drives carefully. On her way, she is stopped by the police. The breathalyzer test detects a small amount of alcohol.",2025-08-15T13:02:16.44065-04:00,01K2QAWG3MDEZ9NDS9QH0QFJBJ,2025-08-15T13:02:16.44065-04:00,overinclusion,2025-08-15T13:02:16.44065-04:00,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver’s vehicle will be seized and the driver subject to imprisonment.""",2025-08-15T13:02:16.44065-04:00,true,2025-08-15T13:02:23.986865-04:00,01K2QAWG4R9KZ2ZDRE9JK01K7Z,2025-08-15T13:02:16.44065-04:00,1,2025-08-15T13:02:16.44065-04:00,0,2025-08-15T13:02:16.44065-04:00,Did Andrea break the rule?,2025-08-15T13:02:16.44065-04:00,driving,2025-08-15T13:02:16.44065-04:00,1,2025-08-15T13:02:16.465192-04:00,true,2025-08-15T13:02:16.666668-04:00
01K2QAZ5T460RCBTCDTY56JXYJ,"John is late to work and notices that the only way he can get there in time for an important meeting is by taking a shortcut through the park. He takes the shortcut, making it just in time for his meeting.",2025-08-15T13:03:19.876322-04:00,01K2QAWQJD5D6BKAZVS6RTNAR3,2025-08-15T13:03:19.876322-04:00,violation,2025-08-15T13:03:19.876322-04:00,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: “No cars are allowed inside the park”.",2025-08-15T13:03:19.876322-04:00,true,2025-08-15T13:03:23.964128-04:00,01K2QAWQJXX669KX4WQBJPYGMV,2025-08-15T13:03:19.876322-04:00,3,2025-08-15T13:03:19.876322-04:00,2,2025-08-15T13:03:19.876322-04:00,Did John break the rule?,2025-08-15T13:03:19.876322-04:00,vehicles,2025-08-15T13:03:19.876322-04:00,1,2025-08-15T13:03:19.915354-04:00,true,2025-08-15T13:03:22.986056-04:00
01K2QAZ5T1VCH1N61WEEAXMF47,"Heather, a student at Figuria University, borrows some books from the library. To help her study, she folds several of the books' pages inward so as to easily return to them later. This creates permanent creases on the books' pages. After finishing his study, she returns the book to the library.",2025-08-15T13:03:19.87378-04:00,01K2QAWQJD5D6BKAZVS6RTNAR3,2025-08-15T13:03:19.87378-04:00,underinclusion,2025-08-15T13:03:19.87378-04:00,"After noticing damage to returned library books, the Figuria University Library created the following rule: “Making notes and scribbling on library-owned books is strictly forbidden”.",2025-08-15T13:03:19.87378-04:00,true,2025-08-15T13:03:22.972264-04:00,01K2QAWQJXX669KX4WQBJPYGMV,2025-08-15T13:03:19.87378-04:00,2,2025-08-15T13:03:19.87378-04:00,1,2025-08-15T13:03:19.87378-04:00,Did Heather break the rule?,2025-08-15T13:03:19.87378-04:00,library,2025-08-15T13:03:19.87378-04:00,1,2025-08-15T13:03:19.906444-04:00,true,2025-08-15T13:03:21.639894-04:00
01K2QAZWVDXZVGSPJB5KSHB7YJ,"Martha is late to a court appointment. She hops into her motorbike and heads downtown. Halfway through, she realizes that she might get there earlier by taking a shortcut through the park. She enters the park in her motorbike, cutting several minutes off her commute time.",2025-08-15T13:03:43.469055-04:00,01K2QAWXBGEB3B9E2DG8G4BRJN,2025-08-15T13:03:43.469055-04:00,underinclusion,2025-08-15T13:03:43.469055-04:00,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: “No cars are allowed inside the park”.",2025-08-15T13:03:43.469055-04:00,true,2025-08-15T13:03:48.828035-04:00,01K2QAWXC1FZZAQ9RXE3A2H2A9,2025-08-15T13:03:43.469055-04:00,5,2025-08-15T13:03:43.469055-04:00,4,2025-08-15T13:03:43.469055-04:00,Did Martha break the rule?,2025-08-15T13:03:43.469055-04:00,vehicles,2025-08-15T13:03:43.469055-04:00,1,2025-08-15T13:03:43.521928-04:00,true,2025-08-15T13:03:47.921267-04:00
01K2QB2P3R6DV8JNTW2WHA15N5,"Heather, a student at Figuria University, borrows some books from the library. To help her study, she folds several of the books' pages inward so as to easily return to them later. This creates permanent creases on the books' pages. After finishing his study, she returns the book to the library.",2025-08-15T13:05:14.872321-04:00,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.872321-04:00,underinclusion,2025-08-15T13:05:14.872321-04:00,"After noticing damage to returned library books, the Figuria University Library created the following rule: “Making notes and scribbling on library-owned books is strictly forbidden”.",2025-08-15T13:05:14.872321-04:00,true,2025-08-15T13:05:19.796194-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.872321-04:00,1,2025-08-15T13:05:14.872321-04:00,0,2025-08-15T13:05:14.872321-04:00,Did Heather break the rule?,2025-08-15T13:05:14.872321-04:00,library,2025-08-15T13:05:14.872321-04:00,1,2025-08-15T13:05:14.898198-04:00,true,2025-08-15T13:05:15.067409-04:00
01K2QB2P41Y9RRNSTSCQ1W1KT0,"Josh arrives home at 1AM after a long work trip. He is happy, so he almost inaudibly hums a song as he unlocks his front door.",2025-08-15T13:05:14.881783-04:00,01K2QB0RESFNZQAXX6FAGX5BNW,2025-08-15T13:05:14.881783-04:00,compliance,2025-08-15T13:05:14.881783-04:00,"House parties are frequent in the college town of Greenville. The parties cause problems for Greenville residents and families, whose sleep is disturbed. To avoid nuisance to Greenville residents, the city adopted an ordinance: “No loud music past 10 PM”.",2025-08-15T13:05:14.881783-04:00,true,2025-08-15T13:05:39.853624-04:00,01K2QB0RFAJQPEC2FMKQCB556M,2025-08-15T13:05:14.881783-04:00,6,2025-08-15T13:05:14.881783-04:00,5,2025-08-15T13:05:14.881783-04:00,Did Josh break the rule?,2025-08-15T13:05:14.881783-04:00,music,2025-08-15T13:05:14.881783-04:00,1,2025-08-15T13:05:14.93715-04:00,true,2025-08-15T13:05:35.386868-04:00
01K2QB4YFPDMVPH7E139ST198S,Brian invites his friends over to party while his parents are away. They hire a DJ and play very loud music until 1 AM.,2025-08-15T13:06:28.982407-04:00,01K2QB1FMGQTR04DSF89JKEWNV,2025-08-15T13:06:28.982407-04:00,violation,2025-08-15T13:06:28.982407-04:00,"House parties are frequent in the college town of Greenville. The parties cause problems for Greenville residents and families, whose sleep is disturbed. To avoid nuisance to Greenville residents, the city adopted an ordinance: “No loud music past 10 PM”.",2025-08-15T13:06:28.982407-04:00,true,2025-08-15T13:07:01.00754-04:00,01K2QB1FN0RTA59BMSCCQHNFDR,2025-08-15T13:06:28.982407-04:00,7,2025-08-15T13:06:28.982407-04:00,6,2025-08-15T13:06:28.982407-04:00,Did Brian break the rule?,2025-08-15T13:06:28.982407-04:00,music,2025-08-15T13:06:28.982407-04:00,1,2025-08-15T13:06:29.041682-04:00,true,2025-08-15T13:06:57.58985-04:00
01K2QB75VYCMTHG1TEB6M0FP2X,"Anna goes for a walk on the paths of the Aurontown National Park and reaches the site of the reforestation project. Without harming the native shrubs, Anna skips over the fence to take a photo of the sunset.",2025-08-15T13:07:42.078633-04:00,01K2QB1V25FDAP7C3B0JZFSW0F,2025-08-15T13:07:42.078633-04:00,overinclusion,2025-08-15T13:07:42.078633-04:00,"As a result of changing weather, the native flora in Aurontown is disappearing. The environmental committee has initiated a reforestation project to replant native shrubs in the Aurontown National Park, which will gradually restore the regional flora. So people will not damage the native shrubs, park authorities have laid a fence around the reforestation site, and posted signs that say: “No park visitors beyond this point”.",2025-08-15T13:07:42.078633-04:00,true,2025-08-15T13:08:07.702143-04:00,01K2QB1V2QW2F16B5TXV6VK2ZT,2025-08-15T13:07:42.078633-04:00,6,2025-08-15T13:07:42.078633-04:00,5,2025-08-15T13:07:42.078633-04:00,Did Anna break the rule?,2025-08-15T13:07:42.078633-04:00,environment,2025-08-15T13:07:42.078633-04:00,1,2025-08-15T13:07:42.140297-04:00,true,2025-08-15T13:08:03.687694-04:00
01K2QB9FC4ZQ350NQ6X9BYC2DY,"Mark lives in a cul-de-sac, and his only neighbors travel out of town for the long weekend. Mark invites his bandmates to rehearse, realizing the volume will not disturb anyone. The band practices until 1 AM.",2025-08-15T13:08:57.348816-04:00,01K2QB22NMJ7AEWF6QNPWHP7FH,2025-08-15T13:08:57.348816-04:00,overinclusion,2025-08-15T13:08:57.348816-04:00,"House parties are frequent in the college town of Greenville. The parties cause problems for Greenville residents and families, whose sleep is disturbed. To avoid nuisance to Greenville residents, the city adopted an ordinance: “No loud music past 10 PM”.",2025-08-15T13:08:57.348816-04:00,true,2025-08-15T13:09:02.774275-04:00,01K2QB22P295DWW783NCJ18DFY,2025-08-15T13:08:57.348816-04:00,1,2025-08-15T13:08:57.348816-04:00,0,2025-08-15T13:08:57.348816-04:00,Did Mark break the rule?,2025-08-15T13:08:57.348816-04:00,music,2025-08-15T13:08:57.348816-04:00,1,2025-08-15T13:08:57.377849-04:00,true,2025-08-15T13:08:57.593868-04:00
01K2QAX7VYYD8JSTCABVT5932E,"Carlos walks around barefoot unless footwear is strictly necessary. On a rainy day, he walks from his house to Maria’s apartment. Carlos walks into Maria’s home with his feet muddy, dirtying Maria’s carpet.",2025-08-15T13:02:16.446328-04:00,01K2QAWG3MDEZ9NDS9QH0QFJBJ,2025-08-15T13:02:16.446328-04:00,underinclusion,2025-08-15T13:02:16.446328-04:00,"One day, a guest entered Maria’s house with his shoes on and dirtied the carpet in her living room. In order to keep her house as clean as possible, Maria established that “Wearing shoes in the house is not allowed”.",2025-08-15T13:02:16.446328-04:00,true,2025-08-15T13:02:38.571715-04:00,01K2QAWG4R9KZ2ZDRE9JK01K7Z,2025-08-15T13:02:16.446328-04:00,6,2025-08-15T13:02:16.446328-04:00,5,2025-08-15T13:02:16.446328-04:00,Did Carlos break the rule?,2025-08-15T13:02:16.446328-04:00,shoes,2025-08-15T13:02:16.446328-04:00,1,2025-08-15T13:02:16.507455-04:00,true,2025-08-15T13:02:36.718037-04:00
