id,action,actionLastChangedAt,batchID,batchIDLastChangedAt,chat,chatLastChangedAt,context,contextLastChangedAt,ended,endedLastChangedAt,gameID,gameIDLastChangedAt,index,indexLastChangedAt,name,nameLastChangedAt,question,questionLastChangedAt,stageIndex,stageIndexLastChangedAt,start,startLastChangedAt
01JQ7BVRS26M1RKDVNN4Q6WZG6,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T15:18:25.827039-04:00,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.827039-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T15:18:25.827039-04:00,false,2025-03-25T15:18:25.827039-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.827039-04:00,5,2025-03-25T15:18:25.827039-04:00,6,2025-03-25T15:18:25.827039-04:00,Did Julia break the rule?,2025-03-25T15:18:25.827039-04:00,1,2025-03-25T15:18:25.906165-04:00,false,2025-03-25T15:18:25.827039-04:00
01JQ7CBAHHYQ7YM74AZHX4BQCX,Lewis drives his car to work after having breakfast and drinking water. He is stopped by the police on his way and takes a breathalyzer test that detects no traces of alcohol.,2025-03-25T15:26:55.537882-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.537882-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T15:26:55.537882-04:00,true,2025-03-25T15:29:27.54593-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.537882-04:00,3,2025-03-25T15:26:55.537882-04:00,4,2025-03-25T15:26:55.537882-04:00,Did Lewis break the rule?,2025-03-25T15:26:55.537882-04:00,1,2025-03-25T15:26:55.579524-04:00,true,2025-03-25T15:29:22.843593-04:00
01JQ7FVRASJRWE4XZQ5G28BPB6,Joanna walks into the park. She takes a long and relaxing stroll observing the trees and birds.,2025-03-25T16:28:19.673226-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.673226-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T16:28:19.673226-04:00,true,2025-03-25T16:33:49.195013-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.673226-04:00,7,2025-03-25T16:28:19.673226-04:00,8,2025-03-25T16:28:19.673226-04:00,Did Joanna break the rule?,2025-03-25T16:28:19.673226-04:00,1,2025-03-25T16:28:19.801162-04:00,true,2025-03-25T16:33:42.057976-04:00
01JQ79Y8NG0TWTP9KYJYMEPVF9,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T14:44:50.480868-04:00,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.480868-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T14:44:50.480868-04:00,true,2025-03-25T14:45:05.74619-04:00,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.480868-04:00,2,2025-03-25T14:44:50.480868-04:00,3,2025-03-25T14:44:50.480868-04:00,Did Julia break the rule?,2025-03-25T14:44:50.480868-04:00,1,2025-03-25T14:44:50.510648-04:00,true,2025-03-25T14:45:01.310393-04:00
01JQ7A13NKVBD44HBFK297P2TF,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T14:46:23.667798-04:00,01JQ7A0HGKSWHCF12W9Z0CH5GR,2025-03-25T14:46:23.667798-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T14:46:23.667798-04:00,true,2025-03-25T14:46:33.403511-04:00,01JQ7A0HH9Y8FJE56XT0N6YBKG,2025-03-25T14:46:23.667798-04:00,1,2025-03-25T14:46:23.667798-04:00,2,2025-03-25T14:46:23.667798-04:00,Did Julia break the rule?,2025-03-25T14:46:23.667798-04:00,1,2025-03-25T14:46:23.69178-04:00,true,2025-03-25T14:46:28.733741-04:00
01JQ7CBAHEF77CKSAEDXFFAN0D,"Andrea is late to work. While getting ready as fast as she can, Andrea uses mouthwash that contains alcohol. Despite her tardiness, Andrea drives carefully. On her way, she is stopped by the police. The breathalyzer test detects a small amount of alcohol.",2025-03-25T15:26:55.534156-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.534156-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T15:26:55.534156-04:00,true,2025-03-25T15:28:55.929098-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.534156-04:00,0,2025-03-25T15:26:55.534156-04:00,1,2025-03-25T15:26:55.534156-04:00,Did Andrea break the rule?,2025-03-25T15:26:55.534156-04:00,1,2025-03-25T15:26:55.556664-04:00,true,2025-03-25T15:26:55.69007-04:00
01JQ7FVRANRKJDM6DZPTYV11HY,"Julia is a businesswoman. She spent all day out of town negotiating important contracts. After a long day of work, Julia sits at one of the benches at the train station to wait for the train home. While waiting, she falls asleep for about 5 minutes, before waking up to the sound of an incoming train.",2025-03-25T16:28:19.669384-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.669384-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T16:28:19.669384-04:00,true,2025-03-25T16:31:54.295068-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.669384-04:00,1,2025-03-25T16:28:19.669384-04:00,2,2025-03-25T16:28:19.669384-04:00,Did Julia break the rule?,2025-03-25T16:28:19.669384-04:00,1,2025-03-25T16:28:19.704944-04:00,true,2025-03-25T16:29:54.160238-04:00
01JQ7FVRAPN0ASDDR638P82F2M,"Robert is a homeless person. As the streets are cold and uncomfortable, he goes to the train station, lies down in one of the benches, where he sleeps soundly throughout the night.",2025-03-25T16:28:19.67087-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.67087-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T16:28:19.67087-04:00,true,2025-03-25T16:33:22.512033-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.67087-04:00,3,2025-03-25T16:28:19.67087-04:00,4,2025-03-25T16:28:19.67087-04:00,Did Robert break the rule?,2025-03-25T16:28:19.67087-04:00,1,2025-03-25T16:28:19.726133-04:00,true,2025-03-25T16:33:15.459605-04:00
01JQ7BVRS08XA8HDQJ6BSACMWY,"Andrea is late to work. While getting ready as fast as she can, Andrea uses mouthwash that contains alcohol. Despite her tardiness, Andrea drives carefully. On her way, she is stopped by the police. The breathalyzer test detects a small amount of alcohol.",2025-03-25T15:18:25.824349-04:00,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.824349-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T15:18:25.824349-04:00,false,2025-03-25T15:18:25.824349-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.824349-04:00,3,2025-03-25T15:18:25.824349-04:00,4,2025-03-25T15:18:25.824349-04:00,Did Andrea break the rule?,2025-03-25T15:18:25.824349-04:00,1,2025-03-25T15:18:25.893575-04:00,false,2025-03-25T15:18:25.824349-04:00
01JQ7BVRS7M1YC4FRN4EY4PYKX,"Veronica is a frequent commuter on a local train. She sits at one of the benches while excitingly talking over the phone with one of her best friends. Before the call is over, her train arrives at the station and she gets onboard.",2025-03-25T15:18:25.831554-04:00,01JQ7BTTHVBN8JNB2D20AFDYKY,2025-03-25T15:18:25.831554-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T15:18:25.831554-04:00,false,2025-03-25T15:18:25.831554-04:00,01JQ7BTTJQ4XSVZYVHZS1KYSFX,2025-03-25T15:18:25.831554-04:00,6,2025-03-25T15:18:25.831554-04:00,7,2025-03-25T15:18:25.831554-04:00,Did Veronica break the rule?,2025-03-25T15:18:25.831554-04:00,1,2025-03-25T15:18:25.912247-04:00,false,2025-03-25T15:18:25.831554-04:00
01JQ7CBAHMKE462R5PVAM24FY7,"John is late to work and notices that the only way he can get there in time for an important meeting is by taking a shortcut through the park. He takes the shortcut, making it just in time for his meeting.",2025-03-25T15:26:55.5406-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.5406-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T15:26:55.5406-04:00,true,2025-03-25T15:29:48.157446-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.5406-04:00,7,2025-03-25T15:26:55.5406-04:00,8,2025-03-25T15:26:55.5406-04:00,Did John break the rule?,2025-03-25T15:26:55.5406-04:00,1,2025-03-25T15:26:55.603512-04:00,true,2025-03-25T15:29:43.394619-04:00
01JQ7FVRAR2CR182W0MJM32KRM,"Veronica is a frequent commuter on a local train. She sits at one of the benches while excitingly talking over the phone with one of her best friends. Before the call is over, her train arrives at the station and she gets onboard.",2025-03-25T16:28:19.672619-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.672619-04:00,,,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T16:28:19.672619-04:00,true,2025-03-25T16:33:36.01692-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.672619-04:00,5,2025-03-25T16:28:19.672619-04:00,6,2025-03-25T16:28:19.672619-04:00,Did Veronica break the rule?,2025-03-25T16:28:19.672619-04:00,1,2025-03-25T16:28:19.781108-04:00,true,2025-03-25T16:33:29.385412-04:00
01JQ7CBAHEF77CKSAEEN0BNQJ5,"Veronica is a frequent commuter on a local train. She sits at one of the benches while excitingly talking over the phone with one of her best friends. Before the call is over, her train arrives at the station and she gets onboard.",2025-03-25T15:26:55.534707-04:00,01JQ7CAP9F5RDSTVZFFXT8M33J,2025-03-25T15:26:55.534707-04:00,"[{""text"":""I'm not sure"",""sender"":{""id"":""01JQ7CB878998XK04ZGARH1FD4"",""name"":""01JQ7CB878998XK04ZGARH1FD4""}}]",2025-03-25T15:29:07.72873-04:00,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T15:26:55.534707-04:00,true,2025-03-25T15:29:14.315603-04:00,01JQ7CAPABJM6AHEKSW4MBVQFS,2025-03-25T15:26:55.534707-04:00,1,2025-03-25T15:26:55.534707-04:00,2,2025-03-25T15:26:55.534707-04:00,Did Veronica break the rule?,2025-03-25T15:26:55.534707-04:00,1,2025-03-25T15:26:55.565204-04:00,true,2025-03-25T15:28:55.964964-04:00
01JQ7FVRAK9F5GY86T5TPZ76PA,"Richard is a homeless person. At the end of the day, he lies down on a bench at the station, resting his head on a makeshift pillow and wrapped in an old blanket. However, Richard never actually sleeps.",2025-03-25T16:28:19.667685-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.667685-04:00,"[{""text"":""I think he broke the rule"",""sender"":{""id"":""01JQ7FTHPPEHZ4M8BMHV3Z7F8T"",""name"":""01JQ7FTHPPEHZ4M8BMHV3Z7F8T""}}]",2025-03-25T16:29:09.541285-04:00,"A group of people slept on the benches at the train station every night. To avoid use of the station concourse as accommodation or overnight shelter, the station manager established a rule: ""No sleeping is allowed on the station benches"".",2025-03-25T16:28:19.667685-04:00,true,2025-03-25T16:29:54.121288-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.667685-04:00,0,2025-03-25T16:28:19.667685-04:00,1,2025-03-25T16:28:19.667685-04:00,Did Richard break the rule?,2025-03-25T16:28:19.667685-04:00,1,2025-03-25T16:28:19.692583-04:00,true,2025-03-25T16:28:19.998129-04:00
01JQ7FVRAPN0ASDDR62PYM6C05,"Andrea is late to work. While getting ready as fast as she can, Andrea uses mouthwash that contains alcohol. Despite her tardiness, Andrea drives carefully. On her way, she is stopped by the police. The breathalyzer test detects a small amount of alcohol.",2025-03-25T16:28:19.670276-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.670276-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T16:28:19.670276-04:00,true,2025-03-25T16:33:15.420837-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.670276-04:00,2,2025-03-25T16:28:19.670276-04:00,3,2025-03-25T16:28:19.670276-04:00,Did Andrea break the rule?,2025-03-25T16:28:19.670276-04:00,1,2025-03-25T16:28:19.715284-04:00,true,2025-03-25T16:31:54.320432-04:00
01JQ7FVRAQBTPVG98JWX0MF2HZ,Lewis drives his car to work after having breakfast and drinking water. He is stopped by the police on his way and takes a breathalyzer test that detects no traces of alcohol.,2025-03-25T16:28:19.671975-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.671975-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T16:28:19.671975-04:00,true,2025-03-25T16:33:29.353531-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.671975-04:00,4,2025-03-25T16:28:19.671975-04:00,5,2025-03-25T16:28:19.671975-04:00,Did Lewis break the rule?,2025-03-25T16:28:19.671975-04:00,1,2025-03-25T16:28:19.770809-04:00,true,2025-03-25T16:33:22.549413-04:00
01JQ7FVRASJRWE4XZQ65D6F697,The city's championship-winning team parades in a big limo inside the park to celebrate the title. The limo proceeds very slowly and police scouts on the ground ensure no parkgoer gets too close.,2025-03-25T16:28:19.673993-04:00,01JQ7FQ2NW8TBJBD4E8V3J20KM,2025-03-25T16:28:19.673993-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T16:28:19.673993-04:00,true,2025-03-25T16:33:42.025861-04:00,01JQ7FQ2PEP32XPZ2GZT60EAX1,2025-03-25T16:28:19.673993-04:00,6,2025-03-25T16:28:19.673993-04:00,7,2025-03-25T16:28:19.673993-04:00,Did the team break the rule?,2025-03-25T16:28:19.673993-04:00,1,2025-03-25T16:28:19.790425-04:00,true,2025-03-25T16:33:36.056811-04:00
01JQ79Y8NG0TWTP9KYJAY2GZEV,"John is late to work and notices that the only way he can get there in time for an important meeting is by taking a shortcut through the park. He takes the shortcut, making it just in time for his meeting.",2025-03-25T14:44:50.48029-04:00,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.48029-04:00,,,"One day at the local park, there was a tragic accident involving a pedestrian and a car. Aiming to avoid accidents that could endanger parkgoers or jeopardize their physical integrity, the park administrators established a rule that: ""No cars are allowed inside the park"".",2025-03-25T14:44:50.48029-04:00,true,2025-03-25T14:45:01.293966-04:00,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.48029-04:00,1,2025-03-25T14:44:50.48029-04:00,2,2025-03-25T14:44:50.48029-04:00,Did John break the rule?,2025-03-25T14:44:50.48029-04:00,1,2025-03-25T14:44:50.503871-04:00,true,2025-03-25T14:44:56.101234-04:00
01JQ79Y8NHGWWKZE6D20HD06FB,"Mario drinks heavily at a nightclub. He uses his car to go back home. On his way, police stops Mario and he takes a breathalyzer test that detects traces of alcohol.",2025-03-25T14:44:50.481645-04:00,01JQ79XPF0N0KBE52WAZ8EFWQ1,2025-03-25T14:44:50.481645-04:00,,,"While driving under the influence of alcohol, a young woman suffered a car accident that ended her life. In order to avoid future accidents, Congress established a law: ""If a police-administered breathalyzer test detects any trace of alcohol, the driver's vehicle will be seized and the driver subject to imprisonment.""",2025-03-25T14:44:50.481645-04:00,true,2025-03-25T14:45:10.589679-04:00,01JQ79XPFX87YKRPHCRC8PANME,2025-03-25T14:44:50.481645-04:00,3,2025-03-25T14:44:50.481645-04:00,4,2025-03-25T14:44:50.481645-04:00,Did Mario break the rule?,2025-03-25T14:44:50.481645-04:00,1,2025-03-25T14:44:50.51731-04:00,true,2025-03-25T14:45:05.758368-04:00
